"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2175","Click to the func Authentication -- @1.2 ","","Mon Mar 17 01:47:21 ICT 2025","failed","Mon Mar 17 01:47:23 ICT 2025","","","",""
"","2499","Click to the func Authentication -- @1.1 ","","Mon Mar 17 01:47:18 ICT 2025","broken","Mon Mar 17 01:47:21 ICT 2025","","","",""
"","5684","Example scenario click into the func a/b testing","","Mon Mar 17 01:47:11 ICT 2025","passed","Mon Mar 17 01:47:17 ICT 2025","","","",""
"","1344","test basic authentication","","Mon Mar 17 01:47:17 ICT 2025","passed","Mon Mar 17 01:47:18 ICT 2025","","","",""
